combo,yc_thresh,btts_home,btts_away,weeks,win_rate,avg_odds,ev
HA+YC+YC,6.0,2.0,1.3,119,0.471,2.911,1.37
HA+YC+YC,6.0,2.0,1.5,119,0.471,2.911,1.37
HA+YC+YC,6.0,2.0,1.8,119,0.471,2.911,1.37
HA+YC+YC,5.5,1.5,1.3,167,0.419,2.919,1.223
HA+YC+YC,5.5,1.5,1.5,167,0.419,2.919,1.223
HA+YC+YC,5.5,1.5,1.8,167,0.419,2.919,1.223
HA+YC+YC,5.5,1.8,1.3,167,0.419,2.919,1.223
HA+YC+YC,5.5,1.8,1.5,167,0.419,2.919,1.223
HA+YC+YC,5.5,1.8,1.8,167,0.419,2.919,1.223
HA+YC+YC,5.5,2.0,1.3,167,0.419,2.919,1.223
HA+YC+YC,5.5,2.0,1.5,167,0.419,2.919,1.223
HA+YC+YC,5.5,2.0,1.8,167,0.419,2.919,1.223
HA+YC+YC,5.0,1.5,1.3,194,0.397,2.917,1.158
HA+YC+YC,5.0,1.5,1.5,194,0.397,2.917,1.158
HA+YC+YC,5.0,1.5,1.8,194,0.397,2.917,1.158
HA+YC+YC,5.0,1.8,1.3,194,0.397,2.917,1.158
HA+YC+YC,5.0,1.8,1.5,194,0.397,2.917,1.158
HA+YC+YC,5.0,1.8,1.8,194,0.397,2.917,1.158
HA+YC+YC,5.0,2.0,1.3,194,0.397,2.917,1.158
HA+YC+YC,5.0,2.0,1.5,194,0.397,2.917,1.158
HA+YC+YC,5.0,2.0,1.8,194,0.397,2.917,1.158
HA+YC+YC,3.5,1.5,1.3,197,0.391,2.92,1.141
HA+YC+YC,3.5,1.5,1.5,197,0.391,2.92,1.141
HA+YC+YC,3.5,1.5,1.8,197,0.391,2.92,1.141
HA+YC+YC,3.5,1.8,1.3,197,0.391,2.92,1.141
HA+YC+YC,3.5,1.8,1.5,197,0.391,2.92,1.141
